,ID,Avg Access Time,Avg Charging Time,Avg Access+Charging Time
0,1,0.013400308630002142,0.49993924339660595,0.5133395520266081
1,2,0.06318161262216944,0.2218195331066959,0.2850011457288653
2,3,0.07189751588395268,0.1666744378601233,0.23857195374407597
3,4,0.07774080731143342,0.1428705658276609,0.2206113731390943
4,5,0.08793609429458449,0.14287127229979188,0.23080736659437637
