rel_error,abs_error,q_rel_error,true_delay,formula_delay,rho
0.002252858443755005,0.0023726719521441897,0.044613450632676785,0.05318288360341139,0.05555555555555558,0.1
0.008092387907107531,0.008714664070182732,0.11332981451119599,0.07689648225200085,0.06818181818181812,0.12000000000000001
0.0018245224355632247,0.0019694367940510382,0.0247958977541346,0.07942591204315819,0.08139534883720922,0.14
0.001827830482321875,0.0019982571006362804,0.021431366040021917,0.09323983813745906,0.09523809523809534,0.16000000000000003
0.004401778759275893,0.0048634927989226195,0.04636640314114958,0.10489260476205309,0.10975609756097571,0.18000000000000002
0.00047577366777110477,0.0005355001531144321,0.004265726845882541,0.12553550015311443,0.125,0.2
0.00584812782828389,0.006634066932624139,0.04936371180556664,0.13439157409301683,0.14102564102564097,0.22000000000000003
0.006011065500092843,0.006918592989740846,0.04582573652501254,0.15097614385236446,0.1578947368421053,0.24000000000000002
0.0032962537588406525,0.003862593277513593,0.022481368843394387,0.17181308239816206,0.17567567567567566,0.26
0.002511606629054289,0.0029924587055816243,0.01563033516749879,0.1914519857388628,0.19444444444444442,0.28
0.0007594409045718961,0.0009214784328512859,0.00431880455113734,0.21336423585286313,0.2142857142857144,0.30000000000000004
0.003239058755291582,0.003988271979850078,0.017242417580696178,0.2313058456672088,0.23529411764705888,0.32000000000000006
0.0027222154710579796,0.00341409827216399,0.013432782432718856,0.2541616593035938,0.2575757575757578,0.3400000000000001
0.00031473408499367095,0.0004033800038345525,0.0014321859152872966,0.28165338000383455,0.28125,0.3600000000000001
0.0012588940667412226,0.0016426163040492714,0.005389002038576014,0.3048089965991765,0.30645161290322576,0.38
0.008542073759578845,0.011292966328099396,0.03506692789204235,0.3220403670052341,0.3333333333333335,0.4
0.0005827598072135943,0.0007942218883509877,0.0021887640188290617,0.36286318740559254,0.36206896551724155,0.42000000000000004
0.00041531688089862145,0.0005782369325495473,0.0014740454401611389,0.39227890592459347,0.392857142857143,0.44000000000000006
0.0034902070253092516,0.004959467117262806,0.011781145536625692,0.42096645880866324,0.42592592592592604,0.4600000000000001
0.002749713909668439,0.004029893691946951,0.008655858257274737,0.4655683552304086,0.4615384615384617,0.4800000000000001
0.0037337325133793386,0.005621588276995659,0.011118172972305865,0.5056215882769959,0.5000000000000002,0.5000000000000001
0.0067316548509043,0.010448302259734588,0.01892414233950497,0.5521149689264016,0.541666666666667,0.5200000000000001
0.005159006430343319,0.008229575332386219,0.013826894433317652,0.595186097071517,0.5869565217391308,0.54
0.0001734632913440608,0.00028379979335313443,0.00044617008280496896,0.6360798365702833,0.6363636363636365,0.56
0.0046449934898121215,0.00788889476426613,0.011296233060605934,0.6983650852404568,0.6904761904761907,0.5800000000000001
0.0003545280848165332,0.0006206441842229182,0.0008268413465998344,0.7506206441842231,0.7500000000000002,0.6000000000000001
0.008518083715918966,0.015599928242054695,0.01876368426866022,0.8313894019262655,0.8157894736842108,0.6200000000000001
0.0005148113644176238,0.0009729223375982698,0.001093340927011241,0.8898618112264876,0.8888888888888893,0.6400000000000001
0.010593134557890944,0.021098202431958812,0.021275074085248865,0.9916864377260766,0.9705882352941178,0.66
0.009288767308531736,0.019337706025397416,0.01787486784542102,1.0818377060253974,1.0625,0.68
0.012253790444715557,0.026228480987183556,0.022998599412520013,1.1404381856794834,1.166666666666667,0.7000000000000001
0.01044471096217511,0.024125610080476978,0.01841874732777049,1.3098398957947635,1.2857142857142865,0.7200000000000001
0.029768173824731993,0.07004544990834738,0.05176926871058845,1.3530314731685764,1.4230769230769238,0.7400000000000001
0.002523931947633345,0.0065366556052990354,0.0041114403383780964,1.5898699889386334,1.5833333333333344,0.7600000000000001
0.008149576230298917,0.02278221769471811,0.012688441813450779,1.7955094904219924,1.7727272727272743,0.7800000000000001
0.0449724530382144,0.12911092414194902,0.06901046449412529,1.8708890758580528,2.0000000000000018,0.8000000000000002
0.00690909489400223,0.02280403293563671,0.009912289504090753,2.3005818107134175,2.277777777777781,0.8200000000000002
0.010100030489449366,0.0369861719890312,0.013894201396769532,2.661986171989033,2.6250000000000018,0.8400000000000001
0.0035968747323382754,0.01469728283836691,0.004762373128123128,3.0861258542669407,3.071428571428574,0.8600000000000001
0.05467364859322523,0.2419171975855985,0.07063792542188775,3.424749469081073,3.6666666666666714,0.8800000000000001
0.012077692687541608,0.06723940667175299,0.014722111254674018,4.567239406671759,4.500000000000006,0.9000000000000001
