rel_error,abs_error,q_rel_error,true_delay,formula_delay,rho
0.02593682578162397,0.02682781448604654,0.780962033494316,0.03435226468821906,0.007524450202172517,0.1
0.029409347380009235,0.03061016275540429,0.7496780340076351,0.04083107863220725,0.01022091587680296,0.12000000000000001
0.03541391912195754,0.03720379934555251,0.7361008427740888,0.05054171546026942,0.013337916114716908,0.14
0.03828156942919691,0.04047768928666473,0.7055851107086577,0.057367550239276976,0.016889860952612246,0.16000000000000003
0.04147974588693664,0.04417894047290072,0.6789177904769294,0.06507259213500016,0.020893651662099444,0.18000000000000002
0.041966581803332896,0.044916207493199245,0.639057254801788,0.07028510693792311,0.02536889944472387,0.2
0.047560866334290026,0.051450822488120496,0.6290676795256829,0.08178900961326518,0.03033818712514469,0.22000000000000003
0.04759014474018663,0.05175836295702285,0.5909450648938074,0.08758574363646443,0.03582738067944158,0.24000000000000002
0.05146483022101091,0.05652869652361847,0.574509593135388,0.09839469557873337,0.0418659990551149,0.26
0.055174109057230386,0.0612275474795696,0.5580589321728171,0.10971520022299175,0.04848765274342215,0.28
0.05735189474750798,0.06423197358025856,0.5354336015256016,0.11996253764657938,0.05573056406632082,0.30000000000000004
0.05561044168483122,0.06263240498155809,0.49601736118888606,0.12627059027014043,0.06363818528858234,0.32000000000000006
0.058996515656751104,0.06722568096266324,0.48195421917216086,0.1394856156216142,0.07225993465895098,0.3400000000000001
0.062771156145962,0.07244394128245046,0.47012208850949977,0.1540960168711294,0.08165207558867893,0.3600000000000001
0.056429664110394254,0.0652991620647887,0.4154473907038409,0.15717793281638004,0.09187877075159134,0.38
0.06552662653009833,0.07734489391433841,0.4288403547455203,0.18035824534338873,0.10301335142905033,0.4
0.06619153421517361,0.0790449224643821,0.4070603476992987,0.19418477606856888,0.11513985360418677,0.42000000000000004
0.06344918889027061,0.07644347911096427,0.3732621530814256,0.20479836618819602,0.12835488707723175,0.44000000000000006
0.0645700333824312,0.07888211276717327,0.35588264414485493,0.22165203632427177,0.1427699235570985,0.4600000000000001
0.06634056142538608,0.0823174636392372,0.34180510588632257,0.24083157981441716,0.15851411617517996,0.4800000000000001
0.07014622359592296,0.08869519985176444,0.33541653376841274,0.2644329987412122,0.17573779888944774,0.5000000000000001
0.0675820920365085,0.08658639666431589,0.30791391440416854,0.2812032604368193,0.19461686377250342,0.5200000000000001
0.07391732354023513,0.09700649165688202,0.31055515699307895,0.31236477473482727,0.21535828307794525,0.54
0.07135248136506217,0.0951374446326887,0.28540270039067206,0.3333445846954506,0.2382071400627619,0.56
0.07475050576697402,0.1020740362759156,0.27924963191723007,0.3655297075061874,0.2634556712302718,0.5800000000000001
0.07534057701354001,0.10522681568760928,0.26526753994240454,0.39668183943823787,0.2914550237506286,0.6000000000000001
0.06828003545111203,0.09692748512821026,0.23102273309976903,0.4195582132878297,0.32263072815961946,0.6200000000000001
0.06441139952263247,0.09345848095889253,0.20724256132345667,0.4509618119080565,0.357503330949164,0.6400000000000001
0.06441269266371334,0.09616019563945422,0.19509997787667477,0.4928765071426011,0.3967163115031469,0.66
0.0608478416396467,0.09336748083447732,0.1747008831823731,0.5344419509145211,0.44107447008004375,0.68
0.053997462777443765,0.08513982432928668,0.14762318160893295,0.5767374974672319,0.4915976731379452,0.7000000000000001
0.06691273588611182,0.11112338709772929,0.16818503342214156,0.6607210215834811,0.5495976344857518,0.7200000000000001
0.046742317137270194,0.0792781622840999,0.11389422917463232,0.6960682982677189,0.616790135983619,0.7400000000000001
0.06070340234288997,0.10957177402521778,0.1361080644821719,0.8050351347077604,0.6954633606825427,0.7600000000000001
0.04512411955788656,0.08452955101805948,0.09679684817481377,0.873267597157712,0.7887380461396525,0.7800000000000001
0.03825138602119706,0.07560734841746508,0.07741965900052754,0.9765910802700628,0.9009837318525977,0.8000000000000002
0.033791993011750225,0.07129458656765753,0.06424052159161713,1.1098070937356912,1.0385125071680337,0.8200000000000002
0.05164667662806209,0.12039828625835103,0.09044401128055123,1.3311913586504214,1.2107930723920703,0.8400000000000001
0.05077701556036295,0.13013330197461936,0.08326726208926488,1.5628387280839466,1.4327054261093273,0.8600000000000001
0.005276262102513496,0.01447556122499849,0.008302464577697285,1.7435258036371333,1.7290502424121348,0.8800000000000001
0.062352811200814796,0.2091047844350573,0.0888456274741518,2.353574288120065,2.144469503685008,0.9000000000000001
